continent,location,gdp_per_capita,population,total_case,total_case_smoothed,total_case_per_mil,total_case_per_mil_smoothed,total_death,total_death_smoothed,total_death_per_mil,total_death_per_mil_smoothed,total_vaccine,total_vaccine_smoothed,total_vaccine_smoothed_per_mil,total_people_vaccinated_smoothed,total_people_vaccinated_smoothed_per_100
North America,Canada,44017.591,38454328,4693802,4692884.02,122061.75,122037.845,53391,53387.129,1388.355,1388.322,96561101,96944938,2521039,34763721,90.406
Africa,Cape Verde,6222.554,593162,64161,64158.884,108167.783,108164.167,415,414.898,699.687,699.471,7462,860120,1450041,357732,60.344
North America,Cayman Islands,49903.029,68722,31472,31472.036,457961.047,457961.067,37,37.031,538.395,538.443,15339,152677,2221656,62599,91.034
Africa,Central African Republic,661.24,5579148,15367,15367.006,2754.311,2754.359,113,113.024,20.241,20.283,12887,3090414,553953,2579104,46.244
South America,Chile,22767.037,19603736,5288481,5288480.989,269769.038,269769.019,65110,65097.139,3321.182,3320.641,62671925,62694355,3198099,18097788,92.32
Asia,China,15308.712,1425887360,101475661,99764871.02,71166.698,69966.869,242494,242454.884,170.085,170.033,3407595000,3489857504,2447485,705833217,49.43
South America,Colombia,13254.949,51874028,6375497,6374663.995,122903.464,122887.368,142892,142865.437,2754.585,2754.106,50290307,90513331,1744848,42429866,81.824
Africa,Congo,4881.406,5970430,25258,25238.162,4230.494,4227.208,389,389.023,65.121,65.228,1486,821424,137596,684019,11.457
Africa,Cote d'Ivoire,3601.006,28160548,88338,88338.009,3136.996,3136.917,835,835.052,29.741,29.579,2278710,25174371,893939,13555969,48.096
Europe,Croatia,22669.797,4030361,1274068,1274047.983,316117.575,316112.622,18281,18277.418,4535.785,4534.908,3815368,5357538,1329294,2317076,57.492
Europe,Cyprus,32415.132,896007,660854,660853.989,737554.496,737554.521,1364,1364.019,1522.252,1522.315,428204,1796234,2004705,668912,74.623
Europe,Czechia,32605.906,10493990,4642885,4642869.281,442432.755,442431.254,42812,42811.708,4079.673,4079.65,18623233,18632461,1775538,6983219,66.532
Africa,Democratic Republic of Congo,808.133,99010216,97697,97697.007,986.685,986.726,1468,1468.014,14.785,14.766,42303,18661815,188479,16944993,17.12
Africa,Djibouti,2705.406,1120851,15690,15690.001,13998.28,13998.284,189,189.024,168.615,168.575,12179,382509,341239,361755,32.252
North America,Dominica,9673.367,72758,15760,15760.017,216608.481,216608.445,74,74.022,1017.062,1017.043,6417,68262,938205,33592,46.172
North America,Dominican Republic,14600.861,11228821,664120,663327.153,59144.231,59073.617,4384,4384.004,390.372,390.428,14029086,16322203,1453586,7331019,65.283
South America,Ecuador,10581.936,18001002,1080245,1075100.15,60010.271,59724.447,36034,36034.039,2001.817,2001.825,36284797,39567512,2198036,15339240,85.259
Africa,Egypt,10550.206,110990096,516023,516023.014,4649.261,4649.249,24830,24830.054,223.643,223.7,2157499,112629330,1014763,56885095,51.272
North America,El Salvador,7292.458,6336393,201785,201784.989,31845.403,31845.407,4230,4230.026,667.568,667.622,4964236,11285663,1781067,4655259,73.465
Africa,Equatorial Guinea,22604.873,1674916,17232,17231.026,10288.261,10287.667,183,183.032,109.254,109.24,639,482993,288401,264981,15.817
Europe,Estonia,29481.252,1326064,601588,601587.973,453664.381,453664.337,2898,2898.077,2185.412,2185.421,2112225,2113622,1593900,870450,65.635
Africa,Eswatini,7738.975,1201680,74882,74881.98,62314.449,62314.43,1427,1427.039,1187.492,1187.56,110765,879729,732108,536111,44.571
Africa,Ethiopia,1729.927,123379928,500946,500945.979,4060.174,4060.193,7574,7574.029,61.368,61.369,23047615,66406556,538285,50953513,41.246
Oceania,Fiji,8702.975,929769,69047,69047.037,74262.553,74262.586,885,885.029,951.876,951.888,28295,1555889,1673411,712723,76.65
Europe,Finland,40585.721,5540745,1482844,1482843.155,267625.381,267625.246,10047,10047.017,1813.197,1813.326,1254404,13228694,2387533,4537676,81.86
Europe,France,38605.671,67813000,38997490,38997490.01,603427.62,603427.559,167985,167985.02,2599.319,2599.345,154492650,154493581,2278238,54678783,80.661
Africa,Gabon,16562.413,2388997,48992,48992.011,20507.35,20507.331,307,307.061,128.525,128.554,1486,572777,239760,311331,13.034
Africa,Gambia,1561.767,2705995,12626,12626.02,4665.953,4665.959,372,372.039,137.493,137.493,429,1445365,534098,672289,24.777
Asia,Georgia,9745.079,3744385,1845538,1845538.014,492881.484,492881.483,17101,17101.039,4567.09,4567.069,1455821,2931140,782828,1654962,44.223
Europe,Germany,45229.245,83369840,38437756,38437755.44,461051.09,461051.107,174979,174977.727,2098.834,2098.851,192197041,192293500,2306511,64954420,77.902
Africa,Ghana,4227.63,33475870,171653,171653.02,5127.662,5127.68,1462,1462.024,43.685,43.687,180950,22470890,671277,13287536,39.729
Europe,Greece,24574.382,10384972,5340268,5340268.017,514230.373,514230.374,37226,37226.028,3584.602,3584.637,21216891,22127362,2130711,7937125,76.373
North America,Grenada,13593.877,125459,19693,19693.05,156967.618,156967.627,238,238.029,1897.039,1897.053,1159,90706,723024,44269,35.287
North America,Guatemala,7423.808,17843914,1266971,1264944.713,71002.969,70889.418,20221,20217.026,1133.148,1132.998,13495417,20362669,1141138,8936041,50.068
Africa,Guinea,1998.926,13859349,38563,38563.011,2782.451,2782.484,468,468.066,33.724,33.763,1586407,10590298,764121,7660901,55.257
Africa,Guinea-Bissau,1548.675,2105580,9614,9614.022,4565.968,4565.945,177,177.047,84.075,84.118,1658,820563,389676,728885,34.568
South America,Guyana,7435.047,808727,73385,73384.986,90741.425,90741.392,1299,1299.038,1606.355,1606.278,144957,960456,1187672,495756,61.338
North America,Haiti,1653.173,11585003,34301,34300.983,2960.82,2960.831,860,860.034,74.238,74.238,41453,662351,57177,519598,4.487
North America,Honduras,4541.795,10432858,472639,472520.403,45302.927,45291.563,11118,11104.47,1065.693,1064.367,229026,16898590,1619737,6584691,63.106
Europe,Hungary,26777.561,9967304,2203222,2203221.994,221044.935,221044.943,48798,48798.006,4895.812,4895.834,8276404,16716341,1677026,6297866,63.177
